brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,price
Kia,Optima EX,2015,109580,Gasoline,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Red,Black,True,11900
Lexus,RX 350 Base,2009,178000,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,True,4500
Mitsubishi,Outlander Sport 2.4,2016,131193,Gasoline,2.4L I4 16V MPFI DOHC,Black,Black,True,11970
Mercedes-Benz,GLS 450 Base,2017,106000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,Black,True,25900
Audi,A3 2.0T Premium,2019,28211,Gasoline,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,27500
Audi,A4 2.0T Premium,2015,91403,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,Silver,Gray,True,14998
Mercedes-Benz,CLA-Class CLA 250,2016,88600,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,16800
INFINITI,FX50 Base,2011,84900,Gasoline,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Silver,Black,False,22450
Kia,K5 EX,2021,11154,Gasoline,1.6L I4 16V GDI DOHC Turbo,Glacial White Pearl,Black,True,28998
BMW,X5 eDrive xDrive40e,2018,45090,Plug-In Hybrid,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Gray,Black,True,30750
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272,Gasoline,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Red,Gray,True,11900
Jeep,Wrangler SE,2003,71000,Gasoline,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Red,Gray,True,12499
Kia,Telluride SX,2020,55400,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Green,White,False,36500
Land,Rover LR4 Lux,2012,141525,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,14490
Jaguar,XKR Base,2007,50000,Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Black,Beige,True,21900
BMW,M4 Base,2020,29140,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Orange,Orange,True,71995
BMW,M340 i xDrive,2022,9000,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,White,Red,True,56900
Mercedes-Benz,AMG GLE 53,2021,5595,Hybrid,3.0 Liter Turbo,designo Diamond White Metallic,Black,True,83598
RAM,1500 Laramie,2022,34121,Gasoline,5.7L V8 16V MPFI OHV,Granite Crystal Clearcoat Metallic,Black,True,48190
BMW,ALPINA B7 Base,2013,36750,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,35999
Mercedes-Benz,C-Class C280 4MATIC,2007,49626,Gasoline,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,–,True,12000
Jeep,Compass High Altitude,2017,45000,Gasoline,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,White,Beige,True,16500
Toyota,Highlander Hybrid XLE,2019,69350,Hybrid,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Black,Gray,True,36000
BMW,X5 M Base,2022,8307,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Blue Metallic,Sakhir Orange,True,98900
BMW,M3 Base,2023,4106,Gasoline,3.0L I6 24V GDI DOHC Twin Turbo,Isle of Man Green Metallic,Kyalami Orange,True,84645
BMW,M3 Base,1999,184700,Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,Blue,Gray,True,36950
Maserati,Quattroporte S Q4,2018,57500,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,Brown,True,41900
Acura,RDX Advance Package,2021,29000,Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,39650
Mercedes-Benz,GLA-Class GLA 250,2015,61675,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,19000
Mercedes-Benz,Sprinter 3500XD High,2021,33300,Diesel,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,White,Black,True,45000
Cadillac,XTS Luxury,2014,62950,Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Silver,Gray,True,17498
Chevrolet,Camaro 2LT,2015,56675,Gasoline,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,19750
Porsche,Cayenne S,2013,92000,Gasoline,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Green,Gray,True,23000
Dodge,Magnum R/T,2005,96000,Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Gold,True,12000
INFINITI,Q70 3.7X,2014,33500,Gasoline,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,23000
Land,Rover Range Rover,2020,16754,Gasoline,557.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,White,White,True,112000
Toyota,Camry Hybrid Base,2007,53249,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,Silver,Gray,True,9250
GMC,Acadia SLT-1,2016,119000,Gasoline,281.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gold,Brown,True,12500
Lincoln,Corsair Reserve,2021,29336,Gasoline,2.0L I4 16V GDI DOHC Turbo,Black,Sandstone,True,36999
RAM,2500 SLT,2017,86000,Diesel,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Gray,Gray,True,41000
RAM,3500 Laramie,2014,177000,Diesel,385.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,Black,–,True,40500
Mercedes-Benz,GL-Class GL 450,2013,93500,Gasoline,362.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,15900
BMW,M5 Base,2018,47700,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Red,White,True,54999
Ford,Mustang SVT Cobra,2003,97496,Gasoline,390.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,False,24500
Acura,ILX Premium Package,2022,16120,Gasoline,2.4L I4 16V GDI DOHC,Gray,Ebony,True,26599
Buick,Rainier CXL,2005,147589,Gasoline,275.0HP 4.2L Straight 6 Cylinder Engine Gasoline Fuel,White,Beige,True,2800
Cadillac,Escalade Luxury,2013,95570,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Black,Black,True,22000
Mercedes-Benz,S-Class S 560,2018,45791,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gray,Gray,True,52000
INFINITI,QX80 Base,2016,60000,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Silver,Beige,True,25950
Buick,Encore Preferred,2019,50000,Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,White,Black,True,18795
Mercedes-Benz,GLS 450 Base,2019,33481,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Black,Almond Beige,True,43999
Jeep,Liberty Limited,2010,107000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,True,5900
Mercedes-Benz,S-Class S 63,2011,60000,Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,White,Black,True,37000
Audi,A8 L 3.0T,2016,55000,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,Brown,True,28000
Mazda,CX-30 2.5 S,2022,4004,Gasoline,186.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Black,Black,True,25500
Bentley,Continental GT Speed,2009,57800,Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,Blue,Beige,False,59400
Bentley,Continental GT V8,2022,10972,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Red,Black,True,217950
Bentley,Flying Spur V8,2022,27858,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,–,–,True,197750
Porsche,911 Carrera 4S,2018,31678,Gasoline,3.0 Liter,Silver,–,True,106798
Volkswagen,Golf R 4-Door,2016,47144,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Blue,Black,True,29950
Hyundai,Genesis Coupe 3.8,2011,165454,Gasoline,306.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,4000
Ford,F-150 XLT,2018,98000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,–,True,25500
Hyundai,Tucson Limited,2020,39913,Gasoline,2.4L I4 16V GDI DOHC,Black Noir Pearl,Beige,True,22749
Ford,Mustang V6,2013,147191,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Blue,Black,True,12990
BMW,435 i,2014,53600,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Silver,Black,True,25980
Mercedes-Benz,AMG G 63,2020,1750,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,199995
Dodge,Challenger SRT Hellcat,2020,2750,Gasoline,797.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Orange,Black,True,104500
Porsche,Boxster Base,2013,40800,Gasoline,265.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Brown,Beige,True,35500
Porsche,Macan Base,2018,36798,Gasoline,2.0L I4 16V GDI DOHC Turbo,Volcano Grey Metallic,Black,True,49500
Ford,F-250 XL,2021,77699,Diesel,6.7L V8 32V DDI OHV Turbo Diesel,White,Medium Earth Gray,False,49883
Ford,Mustang GT,2010,87500,Gasoline,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Red,Black,True,14900
Chevrolet,Suburban LT,2020,93000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,38500
Mercedes-Benz,C-Class C 300,2018,41515,Gasoline,2.0L I4 16V GDI DOHC Turbo,Black,Black,True,28251
RAM,1500 Classic Warlock,2019,19000,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,Diamond Black,Diesel Gray / Black,True,33242
Toyota,Sequoia SR5,2023,1539,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Green,Boulder,True,76373
BMW,M5 Base,2018,31090,Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Green,Black,True,68000
Mazda,Mazda3 FWD w/Premium,2022,21701,Gasoline,2.5L I4 16V,Soul Red Crystal Metallic,Black,True,25099
Nissan,Rogue SL,2016,97726,Gasoline,"2.5L I-4 DOHC, variable valve control, regular unleaded, engine",Gun Metallic,Charcoal,True,15998
Audi,A7 3.0T Prestige,2015,73000,Diesel,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,White,Gray,True,34000
Genesis,G80 3.8,2020,23600,Gasoline,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Blue,Gray,True,31900
Rolls-Royce,Ghost Base,2016,8755,Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Black,Black,True,166900
BMW,M6 Gran Coupe,2019,20500,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,67900
Ford,Mustang V6,2013,57912,Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,18750
BMW,650 i,2009,35000,Gasoline,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,18500
Lincoln,MKC Reserve,2019,35469,Gasoline,2.3L I4 16V GDI DOHC Turbo,Black,–,False,30890
Kia,Telluride EX,2022,14676,Gasoline,3.8L V6 24V GDI DOHC,Dark Moss,Gray,True,46787
Lincoln,Navigator Reserve,2022,13750,Gasoline,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Beige,True,79999
Mercedes-Benz,S-Class S 550,2015,13300,Gasoline,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,62500
Chevrolet,Suburban LT,2017,117000,Gasoline,6.0L 8 Cylinder Engine Gasoline Fuel,Blue,Beige,True,27000
Audi,A7 55 Premium,2020,27100,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,White,Black,True,50000
Ford,Mustang EcoBoost Premium,2017,89352,Gasoline,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,White,Black,True,20989
Chevrolet,Cruze LS,2018,100000,Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,White,Black,True,8500
Land,Rover Range Rover,2020,16000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Silver,Black,True,75500
Land,Rover Defender S,2023,15200,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,True,62999
BMW,650 i,2012,39960,Gasoline,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Brown,True,38995
Ford,Mustang Base,2008,119000,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,White,Black,True,13500
Kia,K5 GT-Line,2022,10971,Gasoline,1.6L I4 16V GDI DOHC Turbo,Passion Red,Black,True,29998
Mazda,Mazda3 i Touring,2014,118500,Gasoline,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,11500
Kia,Stinger GT1,2021,8288,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,45899
Chevrolet,Camaro ZL1,2023,2950,Gasoline,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Red,Gray,True,74500
Mercedes-Benz,AMG G 63,2017,73000,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,White,Black,True,78000
Ford,Thunderbird Premium,2005,82000,Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Gold,White,True,14900
GMC,Sierra 1500 SLT,2017,49105,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Black,True,39750
Kia,Telluride LX,2023,5500,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,40000
Chevrolet,Corvette Base,2005,36700,Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,26000
BMW,650 i,2014,40000,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,34000
Nissan,Rogue SL,2017,78110,Gasoline,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Silver,Black,False,17500
GMC,Acadia Denali,2015,74864,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Beige,True,19780
Cadillac,Escalade Premium Luxury,2021,15350,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,93500
Nissan,GT-R Premium,2010,46100,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Blue,Black,True,72999
Toyota,Highlander XLE,2018,61454,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Gray,True,31000
BMW,X7 xDrive40i,2020,45241,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Blue,Brown,True,54500
INFINITI,QX60 Base,2018,48000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,27000
Lexus,IS 250C Base,2010,68500,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,Black,Beige,True,18500
GMC,Sierra 1500 Denali,2019,43433,Gasoline,5.3L V8 16V GDI OHV,Onyx Black,Walnut,True,51899
Chevrolet,SSR Base,2005,122961,Gasoline,6.0L V8 16V MPFI OHV,Redline Red,Ebony,True,20995
Dodge,Challenger R/T,2014,92861,Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gray,Red,True,19750
Hyundai,Equus Signature,2016,72000,Gasoline,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,21400
Lamborghini,Aventador SVJ Base,2019,6929,Gasoline,759.0HP 6.5L 12 Cylinder Engine Gasoline Fuel,Blue,Black,True,649999
Ford,Mustang GT,2003,83000,Gasoline,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,10500
Toyota,Sequoia Limited,2023,8200,Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,Brown,Black,True,78900
Land,Rover Range Rover,2020,19000,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Silver,Black,False,74900
Jeep,Grand Cherokee L,2022,12875,Gasoline,3.6L V6 24V MPFI DOHC,Diamond Black,Global Black,True,42599
Maserati,GranTurismo Sport,2015,32000,Gasoline,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Beige,Brown,True,36000
BMW,M5 Base,2013,61145,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,White,Beige,True,37500
Mercedes-Benz,C-Class 4MATIC Sedan,2022,9612,Gasoline,"2L I-4 gasoline direct injection, DOHC, variable valve control,",–,–,True,43900
Land,Rover Range Rover,2023,3534,Hybrid,4.4 Liter,Red,Black,True,143998
Ford,F-150 Lariat,2011,152000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Brown,Beige,True,14000
Audi,A4 2.0T Premium,2012,129567,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Black,True,7000
BMW,540 i xDrive,2019,36000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gray,Black,True,41995
BMW,X6 xDrive35i,2009,92008,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,White,Black,True,12500
Ford,Mustang Base,1998,63900,Gasoline,150.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,White,Gray,True,10300
Toyota,Sequoia Limited,2012,150900,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Black,Gray,True,17500
Land,Rover Range Rover,2018,38020,Gasoline,5.0 Liter,White,Espresso,True,63998
Audi,Q8 55 Premium,2021,14750,Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Silver,Black,True,61059
Subaru,WRX Base,2015,52500,Gasoline,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,23000
Chevrolet,Suburban LT,2017,207571,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,21000
INFINITI,QX60 Pure,2020,39000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Gray,True,29900
Porsche,Cayman Base,2011,66000,Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,Black,Brown,False,28000
INFINITI,QX60 Base,2017,93500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,16000
BMW,M4 Base,2018,7200,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Black,Black,True,64000
Maserati,MC20 MC20,2022,1220,Gasoline,"Nettuno 3L V-6 port/direct injection, DOHC, variable valve contr",–,–,True,238900
Land,Rover Defender SE,2023,8421,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Black,White,True,90000
BMW,M8 Base,2020,25520,Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,Brands Hatch Gray Metallic,Black,True,84900
Mercedes-Benz,SL-Class SL 550,2011,41314,Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Red,White,True,30999
Land,Rover Range Rover,2020,49899,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,White,Black,True,64500
Ford,Escape XLT,2012,186268,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,Blue,Black,True,4500
Lexus,ES 350 Base,2016,51335,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,25995
Porsche,718 Boxster GTS,2019,10400,Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,99750
Mercedes-Benz,G-Class G 550,2020,20622,Gasoline,4.0 Liter Twin Turbo,designo Diamond White Metallic,Black,True,142998
RAM,1500 Big Horn,2022,19376,Gasoline,5.7L V8 16V MPFI OHV,Bright White Clearcoat,Black,True,45861
Audi,R8 5.2 V10,2020,12245,Gasoline,5.2L V10 40V PDI DOHC,Daytona Gray Pearl Effect w/ Black Roof,Black / Express Red,True,187900
Mitsubishi,Lancer Evolution IX,2006,77000,Gasoline,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Silver,Black,True,57000
Acura,TL Technology,2013,40000,Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Blue,Gray,True,24000
Cadillac,CTS Luxury,2012,113000,Gasoline,270.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,Beige,True,10000
Chevrolet,Camaro 1SS,2022,7600,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gray,Black,True,46000
Toyota,Camry Hybrid LE,2022,20400,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,White,Gray,True,29900
Ford,Transit-350 XLT,2019,115000,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Gray,True,39000
Lexus,RX 450h Base,2012,239000,Hybrid,295.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Black,Black,True,7000
Jaguar,F-TYPE V6 S,2014,62194,Gasoline,3.0 Liter SC ULEV,Black,Black,True,32998
Jeep,Wrangler Sahara,2020,22138,Gasoline,3.6 Liter,Black,Black,True,38598
Porsche,718 Boxster S,2017,48900,Gasoline,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Blue,Black,True,62500
Audi,R8 5.2,2014,21800,Gasoline,525.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,White,Black,True,117000
Lincoln,MKZ Base,2016,68200,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Silver,Black,True,16750
Chevrolet,S-10 LS Crew,2001,139000,Gasoline,190.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,Red,Gray,True,7000
Mercedes-Benz,G-Class G 550,2021,76100,Gasoline,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,130000
Lexus,RX 350 RX,2022,14330,Gasoline,3.5 Liter DOHC,Black,Red,True,54998
BMW,750 i xDrive,2019,41906,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Blue,White,True,45999
Chevrolet,Camaro 2SS,2016,164000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Black,Red,True,21500
Ford,Fusion Hybrid SE,2013,161933,Hybrid,2.0L I4 16V MPFI DOHC Hybrid,Blue,Charcoal Black,True,7945
Hyundai,Santa Cruz 2.5T,2022,22829,Gasoline,2.5L I4 16V PDI DOHC Turbo,Hampton Gray,Black,True,34580
Lexus,RX 350 F,2023,5483,Gasoline,2.4L I4 16V PDI DOHC Turbo,Ultra White,Black,True,59950
Land,Rover Range Rover,2020,46891,Gasoline,246.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Black,True,31000
Chevrolet,Suburban LT,2019,72000,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Blue,Beige,True,39000
Porsche,718 Spyder Base,2020,3400,Gasoline,414.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,White,Black,True,129900
Chevrolet,Camaro 1LT,2021,18000,Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,White,Black,True,30000
Jeep,Gladiator Freedom,2021,30630,Gasoline,3.6 Liter,Hydro Blue Pearlcoat,Black,True,39998
Toyota,Tacoma Double Cab,2007,24985,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Silver,Silver,False,33580
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,White,Gold,True,93999
Ford,Shelby GT350R Base,2018,18500,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,Blue,Black,True,77999
Cadillac,Escalade Premium Luxury,2021,72843,Gasoline,6.2L V8 16V GDI OHV,Sandstone Metallic,Dark Auburn,True,79990
Buick,LaCrosse Base,2017,67500,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Black,Beige,True,20000
Mercedes-Benz,E-Class E 300,2017,36900,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Beige,True,28500
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,5.3 Liter,Silver,Jet Black,True,39998
Kia,Telluride EX,2022,35938,Gasoline,3.8L V6 24V GDI DOHC,Glacial White Pearl,Black,True,43329
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Midnight Black Metallic,Black,True,63100
Audi,S8 4.0T quattro,2023,4457,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Mythos Black Metallic,Black,True,107900
Nissan,Armada Platinum,2018,108206,Gasoline,5.6 Liter,White,Charcoal,True,26498
Land,Rover Discovery HSE,2020,32705,Diesel,3.0 Liter,Portofino Blue Metallic,Tan/Ebony/Ebony,True,46598
Kia,Telluride S,2020,74026,Gasoline,3.8L V6 24V GDI DOHC,Sangria Red,Black,True,32913
Lexus,GS 350 F,2020,24651,Gasoline,3.5L V6 24V PDI DOHC,Ultra White,Black,True,45950
BMW,X6 xDrive40i,2022,13000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,Orange,True,69000
Land,Rover Range Rover,2023,11700,Hybrid,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Gray,White,True,133500
Chevrolet,Silverado 3500 High,2015,77500,Diesel,397.0HP 6.6L 8 Cylinder Engine Diesel Fuel,Black,Brown,True,54000
Maserati,Quattroporte Sport GT,2007,82000,Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Black,Black,True,7999
Dodge,Viper GTC,2017,1389,Gasoline,645.0HP 8.4L 10 Cylinder Engine Gasoline Fuel,Black,Black,True,489995
Ford,Expedition Limited,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Magnetic Metallic,Ebony,True,55329
Kia,Optima LX,2019,62660,Gasoline,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,White,Black,True,16500
Land,Rover Range Rover,2018,56006,Gasoline,575.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Silver,White,True,59000
Lexus,RX 450h F,2021,31365,Hybrid,3.5 Liter DOHC,Beige,Red,True,52998
Lincoln,Town Car Base,2004,27600,Gasoline,239.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Black,White,True,14900
Honda,Civic Si,2012,47245,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,White,Black,True,19600
Lexus,RX 450h Base,2017,73948,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,White,Beige,True,31990
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,Diamond Black,Diesel Gray / Black,True,31953
Audi,RS 3 2.5T,2023,1900,Gasoline,401.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Gray,Black,True,78900
Hyundai,Genesis Coupe 3.8,2014,52060,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Black,Black,True,15000
